"Locality","DailyAvgNewCasesPast7Days","TotalCases","State","Date","TotalCases7DaysAgo","NewCasesPast7Days","FIPS-Code","PercentIncreaseTotalCasesPast7Days"
"Baldwin","0","1","Alabama","3/17/20","0","1","01003","1"
"Elmore","0","2","Alabama","3/17/20","0","2","01051","1"
"Jefferson","3","21","Alabama","3/17/20","0","21","01073","1"
"Lee","0","3","Alabama","3/17/20","0","3","01081","1"
"Limestone","0","1","Alabama","3/17/20","0","1","01083","1"
"Madison","0","1","Alabama","3/17/20","0","1","01089","1"
"Montgomery","0","2","Alabama","3/17/20","0","2","01101","1"
"Shelby","1","4","Alabama","3/17/20","0","4","01117","1"
"St. Clair","0","1","Alabama","3/17/20","0","1","01115","1"
"Tuscaloosa","0","3","Alabama","3/17/20","0","3","01125","1"
"Anchorage","0","1","Alaska","3/17/20","0","1","02020","1"
"Fairbanks North Star","0","2","Alaska","3/17/20","0","2","02090","1"
"Graham","0","1","Arizona","3/17/20","0","1","04009","1"
"Maricopa","1","9","Arizona","3/17/20","2","7","04013","350"
"Navajo","0","1","Arizona","3/17/20","0","1","04017","1"
"Pima","0","4","Arizona","3/17/20","1","3","04019","300"
"Pinal","0","5","Arizona","3/17/20","3","2","04021","66.67"
"Jefferson","0","3","Arkansas","3/17/20","0","3","05069","1"
"Alameda","3","27","California","3/17/20","3","24","06001","800"
"Calaveras","0","2","California","3/17/20","0","2","06009","1"
"Contra Costa","4","39","California","3/17/20","9","30","06013","333.33"
"Fresno","0","2","California","3/17/20","1","1","06019","100"
"Humboldt","0","1","California","3/17/20","1","0","06023","0"
"Imperial","0","2","California","3/17/20","0","2","06025","1"
"Kern","0","1","California","3/17/20","0","1","06029","1"
"Los Angeles","18","144","California","3/17/20","20","124","06037","620"
"Madera","0","1","California","3/17/20","1","0","06039","0"
"Marin","1","11","California","3/17/20","1","10","06041","1000"
"Monterey","0","2","California","3/17/20","0","2","06053","1"
"Napa","0","0","California","3/17/20","1","-1","06055","-100"
"Nevada","0","1","California","3/17/20","0","1","06057","1"
"Orange","2","22","California","3/17/20","5","17","06059","340"
"Placer","0","5","California","3/17/20","7","-2","06061","-28.57"
"Riverside","2","15","California","3/17/20","4","11","06065","275"
"Sacramento","4","40","California","3/17/20","10","30","06067","300"
"San Benito","0","3","California","3/17/20","2","1","06069","50"
"San Bernardino","0","2","California","3/17/20","0","2","06071","1"
"San Diego","7","55","California","3/17/20","3","52","06073","1733.33"
"San Francisco","4","43","California","3/17/20","14","29","06075","207.14"
"San Joaquin","2","13","California","3/17/20","0","13","06077","1"
"San Luis Obispo","0","3","California","3/17/20","0","3","06079","1"
"San Mateo","8","64","California","3/17/20","8","56","06081","700"
"Santa Barbara","0","2","California","3/17/20","0","2","06083","1"
"Santa Clara","16","155","California","3/17/20","43","112","06085","260.47"
"Santa Cruz","2","13","California","3/17/20","2","11","06087","550"
"Shasta","0","1","California","3/17/20","1","0","06089","0"
"Solano","1","7","California","3/17/20","3","4","06095","133.33"
"Sonoma","0","4","California","3/17/20","3","1","06097","33.33"
"Stanislaus","0","3","California","3/17/20","0","3","06099","1"
"Tulare","0","3","California","3/17/20","0","3","06107","1"
"Ventura","1","10","California","3/17/20","1","9","06111","900"
"Yolo","0","4","California","3/17/20","1","3","06113","300"
"Adams","1","10","Colorado","3/17/20","0","10","08001","1"
